17|12/14/2021|Arsenal | West Ham
17|12/14/2021|Brentford | Man Utd
17|12/14/2021|Brighton | Wolves
17|12/14/2021|Burnley | Watford
17|12/14/2021|Leicester | Tottenham
17|12/14/2021|Norwich | Aston Villa
17|12/14/2021|Crystal Palace | Southampton
17|12/15/2021|Chelsea | Everton
17|12/15/2021|Liverpool | Newcastle
17|12/15/2021|Man City | Leeds
18|12/16/2021|Aston Villa | Burnley
18|12/16/2021|Everton | Leicester
18|12/16/2021|Leeds | Arsenal
18|12/16/2021|Man Utd | Brighton
18|12/16/2021|Newcastle | Man City
18|12/16/2021|Southampton | Brentford
18|12/16/2021|Tottenham | Liverpool
18|12/16/2021|Watford | Crystal Palace
18|12/16/2021|West Ham | Norwich
18|12/16/2021|Wolves | Chelsea
19|12/26/2021|Aston Villa | Chelsea
19|12/26/2021|Brighton | Brentford
19|12/26/2021|Burnley | Everton
19|12/26/2021|Liverpool | Leeds
19|12/26/2021|Man City | Leicester
19|12/26/2021|Newcastle | Man Utd
19|12/26/2021|Norwich | Arsenal
19|12/26/2021|Tottenham | Crystal Palace
19|12/26/2021|West Ham | Southampton
19|12/26/2021|Wolves | Watford
20|12/28/2021|Arsenal | Wolves
20|12/28/2021|Brentford | Man City
20|12/28/2021|Chelsea | Brighton
20|12/28/2021|Crystal Palace | Norwich
20|12/28/2021|Everton | Newcastle
20|12/28/2021|Leeds | Aston Villa
20|12/28/2021|Leicester | Liverpool
20|12/28/2021|Man Utd | Burnley
20|12/28/2021|Southampton | Tottenham
20|12/28/2021|Watford | West Ham
21|1/1/2022|Arsenal | Man City
21|1/1/2022|Brentford | Aston Villa
21|1/1/2022|Chelsea | Liverpool
21|1/1/2022|Crystal Palace | West Ham
21|1/1/2022|Everton | Brighton
21|1/1/2022|Leeds | Burnley
21|1/1/2022|Leicester | Norwich
21|1/1/2022|Man Utd | Wolves
21|1/1/2022|Southampton | Newcastle
21|1/1/2022|Watford | Tottenham
22|1/15/2022|Aston Villa | Man United
22|1/15/2022|Brighton | Crystal Palace
22|1/15/2022|Burnley | Leicester
22|1/15/2022|Liverpool | Brentford
22|1/15/2022|Man City | Chelsea
22|1/15/2022|Newcastle | Watford
22|1/15/2022|Norwich | Everton
22|1/15/2022|Tottenham | Arsenal
22|1/15/2022|West Ham | Leeds
22|1/15/2022|Wolves | Southampton
23|1/22/2022|Arsenal | Burnley
23|1/22/2022|Brentford | Wolves
23|1/22/2022|Chelsea | Tottenham
23|1/22/2022|Crystal Palace | Liverpool
23|1/22/2022|Everton | Aston Villa
23|1/22/2022|Leeds | Newcastle
23|1/22/2022|Leicester | Brighton
23|1/22/2022|Man Utd | West Ham
23|1/22/2022|Southampton | Man City
23|1/22/2022|Watford | Norwich
24|2/8/2022|Aston Villa | Leeds
24|2/8/2022|Brighton | Chelsea
24|2/8/2022|Burnley | Man Utd
24|2/8/2022|Norwich | Crystal Palace
24|2/8/2022|West Ham | Watford
24|2/8/2022|Wolves | Arsenal
24|2/9/2022|Newcastle | Everton
24|2/9/2022|Tottenham | Southampton
24|2/9/2022|Liverpool | Leicester
24|2/9/2022|Man City | Brentford
25|2/12/2022|Brentford | Crystal Palace
25|2/12/2022|Burnley | Liverpool
25|2/12/2022|Chelsea | Arsenal
25|2/12/2022|Everton | Leeds
25|2/12/2022|Leicester | West Ham
25|2/12/2022|Man Utd | Southampton
25|2/12/2022|Newcastle | Aston Villa
25|2/12/2022|Norwich | Man City
25|2/12/2022|Tottenham | Wolves
25|2/12/2022|Watford | Brighton
26|2/19/2022|Arsenal | Brentford
26|2/19/2022|Aston Villa | Watford
26|2/19/2022|Brighton | Burnley
26|2/19/2022|Crystal Palace | Chelsea
26|2/19/2022|Leeds | Manchester Utd
26|2/19/2022|Liverpool | Norwich
26|2/19/2022|Man City | Tottenham
26|2/19/2022|Southampton | Everton
26|2/19/2022|West Ham | Newcastle
26|2/19/2022|Wolves | Leicester
27|2/26/2022|Arsenal | Liverpool
